R,191.4,191.4_err,194.5,194.5_err,197.6,197.6_err,200.7,200.7_err,203.9,203.9_err,207.0,207.0_err,210.1,210.1_err,213.3,213.3_err,216.4,216.4_err
mm,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV,eV
591.7,133.1,16.6,130.5,14.9,113.6,14.9,84.4,18.1,149.9,18.8,120.6,13.8,115.9,11.8,156,19.3,111.4,14
581.2,186.4,22,210,19.8,186.4,23,201.8,24.6,236.4,24.1,175.7,19.4,201.8,24.6,250.9,26.6,182.8,24.8
560.9,411.7,20.5,419.9,23.9,380.3,22.9,428.3,25.3,492,25.7,372.9,23.3,419.9,20.1,554,31.4,403.6,22.3
536.2,731,18,839.7,21.9,791.3,19.8,775.8,21.1,839.7,21.6,760.6,18.6,760.6,18.1,891.1,24.1,731,17.6
512,1130.2,24.4,1175.8,24.9,1108,21.4,1152.8,24.6,1175.8,24.3,1175.8,22.8,1130.2,21.8,1023.6,22.4,1108,22.7
488.5,1272.8,27.6,1247.8,28.4,1350.7,29.7,1247.8,29,1199.4,24.1,1350.7,29.7,1199.4,24.5,1086.3,25.8,1324.2,27.1
466.1,1350.7,28.8,1152.8,26.4,1462,31.3,1298.2,28.6,1152.8,26.3,1462,32,1199.4,25,1130.2,26.8,1377.7,26.8
444.8,1324.2,24.7,1223.3,24.4,1462,27.5,1324.2,25.5,1152.8,25.1,1491.2,26.5,1272.8,23.1,1152.8,23.7,1433.3,25.9
423.6,1377.7,24.6,1199.4,23.9,1551.5,27.6,1350.7,24.2,1175.8,22.1,1551.5,27.2,1377.7,23.6,1152.8,22.6,1433.3,23.2
402.6,1350.7,25.2,1199.4,23.2,1462,26.1,1350.7,24.6,1247.8,24.3,1491.2,25.3,1350.7,24.8,1152.8,21.6,1462,25.2
286.8,791.3,12.5,856.5,12.4,791.3,11.7,807.1,12.7,945.7,14.2,775.8,12.2,807.1,11.9,891.1,14.2,760.6,11.7
